ITEMS,Turkey,United+States,Germany,Japan,China,Lebanon
"Meal, Inexpensive Restaurant ", 3.17 , 15.00 , 11.80 , 8.06 , 3.22 , 10.58 
"Meal for 2 People, Mid-range Restaurant, Three-course ", 12.69 , 55.00 , 58.99 , 45.81 , 22.22 , 50.02 
McMeal at McDonalds (or Equivalent Combo Meal) , 3.17 , 8.00 , 9.44 , 6.64 , 5.19 , 9.92 
Domestic Beer (0.5 liter draught) , 2.03 , 5.00 , 4.13 , 4.27 , 1.04 , 3.75 
Imported Beer (0.33 liter bottle) , 2.54 , 6.00 , 4.13 , 4.87 , 2.96 , 5.00 
Cappuccino (regular) , 1.58 , 4.25 , 3.28 , 3.75 , 3.98 , 4.01 
Coke/Pepsi (0.33 liter bottle) , 0.55 , 1.89 , 2.79 , 1.29 , 0.50 , 1.60 
Water (0.33 liter bottle)  , 0.18 , 1.54 , 2.39 , 1.01 , 0.32 , 0.65 
"Milk (regular), (1 liter) ", 0.72 , 0.85 , 0.98 , 1.88 , 2.02 , 3.06 
Loaf of Fresh White Bread (500g) , 0.33 , 2.72 , 1.58 , 1.94 , 1.63 , 1.03 
"Rice (white), (1kg) ", 1.55 , 4.03 , 2.34 , 4.88 , 1.02 , 2.65 
Eggs (regular) (12) , 1.46 , 2.35 , 2.63 , 2.24 , 1.88 , 4.64 
Local Cheese (1kg) , 5.47 , 11.09 , 9.43 , 18.12 , 13.17 , 11.34 
Chicken Fillets (1kg) , 2.51 , 9.09 , 8.47 , 7.98 , 4.04 , 11.48 
Beef Round (1kg) (or Equivalent Back Leg Red Meat) , 8.58 , 12.45 , 11.76 , 22.18 , 11.57 , 22.33 
Apples (1kg) , 0.76 , 4.60 , 2.72 , 7.04 , 1.95 , 2.44 
Banana (1kg) , 1.83 , 1.57 , 1.97 , 2.84 , 1.26 , 2.44 
Oranges (1kg) , 1.01 , 4.06 , 2.22 , 5.62 , 1.83 , 2.03 
Tomato (1kg) , 0.68 , 4.30 , 2.91 , 6.04 , 1.22 , 1.82 
Potato (1kg) , 0.46 , 2.67 , 1.52 , 3.76 , 0.87 , 1.47 
Onion (1kg) , 0.53 , 2.67 , 1.51 , 2.98 , 0.92 , 1.47 
Lettuce (1 head) , 0.53 , 1.63 , 1.12 , 1.86 , 0.63 , 1.31 
Water (1.5 liter bottle) , 0.29 , 1.83 , 0.48 , 1.15 , 0.64 , 1.00 
Bottle of Wine (Mid-Range) , 6.35 , 12.00 , 5.90 , 11.38 , 11.41 , 13.23 
Domestic Beer (0.5 liter bottle) , 1.62 , 2.40 , 1.04 , 2.60 , 0.80 , 1.86 
Imported Beer (0.33 liter bottle) , 2.15 , 2.95 , 1.57 , 3.39 , 1.93 , 2.85 
Cigarettes 20 Pack (Marlboro) , 2.28 , 8.00 , 7.90 , 4.74 , 2.96 , 3.42 
One-way Ticket (Local Transport) , 0.44 , 2.25 , 3.30 , 2.09 , 0.30 , 1.50 
Monthly Pass (Regular Price) , 28.87 , 70.00 , 82.59 , 94.85 , 22.22 , 69.02 
Taxi Start (Normal Tariff) , 0.63 , 3.25 , 4.13 , 6.17 , 1.48 , 5.29 
Taxi 1km (Normal Tariff) , 0.44 , 1.68 , 2.36 , 4.17 , 0.36 , 2.00 
Taxi 1hour Waiting (Normal Tariff) , 3.81 , 30.00 , 35.39 , 28.46 , 5.33 , 15.01 
Gasoline (1 liter) , 0.85 , 0.69 , 1.67 , 1.35 , 1.06 , 0.92 
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ," 25,383.53 "," 23,000.00 "," 25,955.64 "," 24,752.19 "," 21,333.02 "," 23,009.75 "
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ," 21,389.69 "," 21,440.49 "," 25,842.59 "," 20,669.03 "," 19,251.02 "," 20,780.92 "
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ", 60.13 , 161.72 , 257.66 , 204.42 , 54.06 , 154.11 
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) , 0.10 , 0.14 , 0.12 , 0.36 , 0.03 , 0.38 
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ", 13.25 , 65.26 , 38.00 , 45.72 , 14.37 , 54.65 
"Fitness Club, Monthly Fee for 1 Adult ", 20.30 , 37.32 , 35.18 , 83.59 , 36.75 , 69.04 
Tennis Court Rent (1 Hour on Weekend) , 11.99 , 16.08 , 23.58 , 26.98 , 12.12 , 25.58 
"Cinema, International Release, 1 Seat ", 3.17 , 12.00 , 14.16 , 17.07 , 6.67 , 10.00 
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ", 220.60 , 940.29 , 398.81 , 469.19 , 483.58 , 386.47 
"International Primary School, Yearly for 1 Child "," 4,917.27 "," 16,204.10 "," 14,507.39 "," 15,819.66 "," 17,640.02 "," 5,648.97 "
1 Pair of Jeans (Levis 501 Or Similar) , 31.07 , 44.02 , 91.09 , 63.63 , 63.69 , 71.45 
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ", 22.12 , 35.63 , 41.14 , 40.60 , 36.47 , 55.75 
1 Pair of Nike Running Shoes (Mid-Range) , 56.37 , 75.90 , 95.65 , 79.14 , 86.51 , 133.88 
1 Pair of Men Leather Business Shoes , 42.87 , 96.28 , 125.92 , 114.04 , 92.28 , 116.29 
Apartment (1 bedroom) in City Centre , 200.46 ," 1,351.61 ", 875.60 , 801.34 , 502.09 , 809.48 
Apartment (1 bedroom) Outside of Centre , 126.53 ," 1,081.25 ", 663.36 , 536.33 , 284.51 , 403.22 
Apartment (3 bedrooms) in City Centre , 343.83 ," 2,169.67 "," 1,676.33 "," 1,815.87 "," 1,059.30 "," 1,683.18 "
Apartment (3 bedrooms) Outside of Centre , 218.60 ," 1,717.90 "," 1,258.55 "," 1,086.61 ", 609.07 , 789.95 
