ITEMS,Germany,Poland,Austria,China,Chile,Turkey,Iran,Japan
"Meal, Inexpensive Restaurant ", 11.71 , 6.44 , 14.06 , 3.18 , 6.30 , 3.15 , 4.75 , 8.06 
"Meal for 2 People, Mid-range Restaurant, Three-course ", 58.57 , 28.34 , 58.57 , 22.40 , 44.11 , 12.60 , 23.75 , 46.76 
McMeal at McDonalds (or Equivalent Combo Meal) , 9.37 , 5.15 , 9.37 , 5.23 , 5.92 , 3.15 , 4.68 , 6.64 
Domestic Beer (0.5 liter draught) , 4.10 , 2.06 , 4.57 , 1.05 , 3.56 , 2.02 , 0.98 , 4.27 
Imported Beer (0.33 liter bottle) , 4.10 , 2.06 , 4.69 , 2.99 , 3.78 , 2.52 , 1.00 , 4.74 
Cappuccino (regular) , 3.26 , 2.28 , 3.69 , 4.02 , 2.46 , 1.57 , 1.99 , 3.75 
Coke/Pepsi (0.33 liter bottle) , 2.78 , 1.09 , 3.21 , 0.51 , 1.12 , 0.55 , 0.62 , 1.30 
Water (0.33 liter bottle)  , 2.38 , 0.89 , 2.50 , 0.32 , 0.96 , 0.18 , 0.35 , 1.01 
"Milk (regular), (1 liter) ", 0.98 , 0.67 , 1.31 , 2.03 , 1.01 , 0.71 , 1.10 , 1.88 
Loaf of Fresh White Bread (500g) , 1.57 , 0.81 , 2.27 , 1.65 , 1.10 , 0.32 , 0.60 , 1.94 
"Rice (white), (1kg) ", 2.33 , 0.95 , 2.17 , 1.02 , 1.22 , 1.54 , 3.39 , 4.88 
Eggs (regular) (12) , 2.62 , 2.04 , 3.33 , 1.90 , 2.59 , 1.45 , 1.85 , 2.24 
Local Cheese (1kg) , 9.39 , 6.17 , 13.78 , 13.54 , 8.30 , 5.43 , 4.72 , 18.12 
Chicken Fillets (1kg) , 8.44 , 4.29 , 12.12 , 4.07 , 4.84 , 2.49 , 3.86 , 7.98 
Beef Round (1kg) (or Equivalent Back Leg Red Meat) , 11.71 , 8.74 , 18.60 , 11.65 , 8.43 , 8.52 , 15.78 , 22.18 
Apples (1kg) , 2.71 , 0.89 , 2.64 , 1.98 , 1.42 , 0.76 , 1.35 , 7.05 
Banana (1kg) , 1.96 , 1.20 , 2.06 , 1.29 , 1.29 , 1.81 , 2.03 , 2.84 
Oranges (1kg) , 2.21 , 1.31 , 2.82 , 1.85 , 1.40 , 1.00 , 1.21 , 5.62 
Tomato (1kg) , 2.89 , 1.60 , 2.78 , 1.24 , 1.38 , 0.67 , 0.94 , 6.04 
Potato (1kg) , 1.52 , 0.67 , 1.62 , 0.87 , 0.95 , 0.46 , 0.75 , 3.76 
Onion (1kg) , 1.51 , 0.78 , 1.65 , 0.93 , 1.19 , 0.53 , 0.77 , 2.98 
Lettuce (1 head) , 1.12 , 0.87 , 1.53 , 0.64 , 0.96 , 0.53 , 0.69 , 1.86 
Water (1.5 liter bottle) , 0.48 , 0.50 , 0.72 , 0.64 , 1.18 , 0.29 , 0.43 , 1.15 
Bottle of Wine (Mid-Range) , 5.86 , 5.67 , 8.20 , 11.94 , 5.04 , 6.30 , 1.19 , 11.38 
Domestic Beer (0.5 liter bottle) , 1.03 , 0.83 , 1.27 , 0.81 , 1.23 , 1.61 , 0.58 , 2.61 
Imported Beer (0.33 liter bottle) , 1.57 , 1.21 , 1.77 , 1.95 , 2.16 , 2.13 , 1.11 , 3.39 
Cigarettes 20 Pack (Marlboro) , 7.85 , 4.38 , 6.44 , 3.06 , 5.04 , 2.27 , 2.50 , 4.74 
One-way Ticket (Local Transport) , 3.28 , 0.88 , 2.81 , 0.30 , 1.01 , 0.44 , 0.24 , 2.09 
Monthly Pass (Regular Price) , 82.00 , 25.76 , 57.40 , 22.40 , 50.41 , 28.04 , 12.00 , 94.85 
Taxi Start (Normal Tariff) , 4.10 , 1.80 , 5.04 , 1.49 , 0.38 , 0.63 , 0.48 , 6.17 
Taxi 1km (Normal Tariff) , 2.34 , 0.62 , 2.11 , 0.36 , 1.35 , 0.44 , 0.45 , 4.17 
Taxi 1hour Waiting (Normal Tariff) , 35.14 , 9.27 , 32.57 , 5.38 , 12.60 , 3.78 , 3.56 , 28.46 
Gasoline (1 liter) , 1.65 , 1.28 , 1.44 , 1.07 , 1.06 , 0.84 , 0.27 , 1.35 
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ," 25,772.98 "," 20,247.13 "," 25,187.23 "," 21,500.24 "," 15,740.39 "," 25,206.69 "," 55,335.12 "," 24,752.20 "
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ," 25,695.54 "," 20,242.10 "," 25,939.32 "," 19,430.50 "," 15,539.41 "," 21,269.69 "," 68,372.82 "," 20,669.04 "
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ", 256.81 , 176.77 , 226.28 , 54.38 , 121.35 , 59.67 , 32.23 , 203.68 
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) , 0.12 , 0.06 , 0.07 , 0.03 , 0.14 , 0.10 , 0.02 , 0.36 
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ", 37.74 , 13.75 , 37.30 , 14.51 , 33.39 , 13.16 , 19.59 , 45.68 
"Fitness Club, Monthly Fee for 1 Adult ", 35.07 , 26.57 , 40.13 , 36.92 , 33.61 , 20.14 , 29.64 , 83.59 
Tennis Court Rent (1 Hour on Weekend) , 23.47 , 12.84 , 22.08 , 12.26 , 18.24 , 11.91 , 17.62 , 26.98 
"Cinema, International Release, 1 Seat ", 14.06 , 6.44 , 12.89 , 6.72 , 6.30 , 3.15 , 3.56 , 17.07 
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ", 402.66 , 232.80 , 339.54 , 485.70 , 325.12 , 218.91 , 119.50 , 469.19 
