ITEMS,Turkey,Germany,Japan,China,Iran,New+Zealand,Iceland,Poland,Hungary,Vietnam
"Meal, Inexpensive Restaurant ", 3.15 , 11.71 , 8.06 , 3.18 , 4.75 , 11.89 , 17.95 , 6.44 , 6.43 , 2.16 
"Meal for 2 People, Mid-range Restaurant, Three-course ", 12.60 , 58.57 , 46.76 , 22.40 , 23.75 , 59.46 , 100.50 , 28.34 , 32.15 , 19.41 
McMeal at McDonalds (or Equivalent Combo Meal) , 3.15 , 9.37 , 6.64 , 5.23 , 4.68 , 7.93 , 12.56 , 5.15 , 5.14 , 4.31 
Domestic Beer (0.5 liter draught) , 2.02 , 4.10 , 4.27 , 1.05 , 0.98 , 5.95 , 8.61 , 2.06 , 1.58 , 0.86 
Imported Beer (0.33 liter bottle) , 2.52 , 4.10 , 4.74 , 2.99 , 1.00 , 5.95 , 7.18 , 2.06 , 1.67 , 1.73 
Cappuccino (regular) , 1.57 , 3.26 , 3.75 , 4.02 , 1.99 , 3.11 , 4.16 , 2.28 , 1.40 , 1.72 
Coke/Pepsi (0.33 liter bottle) , 0.55 , 2.78 , 1.30 , 0.51 , 0.62 , 2.23 , 2.42 , 1.09 , 1.09 , 0.52 
Water (0.33 liter bottle)  , 0.18 , 2.38 , 1.01 , 0.32 , 0.35 , 2.00 , 1.84 , 0.89 , 0.84 , 0.32 
"Milk (regular), (1 liter) ", 0.71 , 0.98 , 1.88 , 2.03 , 1.11 , 1.74 , 1.23 , 0.67 , 0.76 , 1.43 
Loaf of Fresh White Bread (500g) , 0.32 , 1.57 , 1.94 , 1.65 , 0.60 , 1.63 , 2.96 , 0.81 , 0.74 , 0.73 
"Rice (white), (1kg) ", 1.54 , 2.33 , 4.88 , 1.02 , 3.42 , 1.97 , 2.71 , 0.95 , 1.16 , 0.83 
Eggs (regular) (12) , 1.45 , 2.62 , 2.24 , 1.90 , 1.85 , 3.53 , 4.88 , 2.04 , 1.76 , 1.40 
Local Cheese (1kg) , 5.43 , 9.40 , 18.12 , 13.54 , 4.72 , 6.91 , 11.13 , 6.17 , 6.13 , 13.12 
Chicken Fillets (1kg) , 2.49 , 8.43 , 7.98 , 4.07 , 3.86 , 8.57 , 14.32 , 4.29 , 4.70 , 3.36 
Beef Round (1kg) (or Equivalent Back Leg Red Meat) , 8.52 , 11.72 , 22.18 , 11.65 , 15.92 , 12.64 , 24.47 , 8.76 , 7.95 , 10.43 
Apples (1kg) , 0.76 , 2.71 , 7.05 , 1.98 , 1.35 , 2.46 , 2.38 , 0.89 , 1.39 , 2.85 
